Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To,Actual Variable Name
FAC_LAM_OUT,%,x * 0.00152588,%01.1f,0xd0014326,2,TRUE,-50,50,-100,100,0,TRUE,YAK,,fac_lam_out[0]
FAC_MFF_ADD,%,x * 0.00305176,%01.1f,0xd001433a,2,TRUE,-100,100,-100,100,0,TRUE,YAK,,fac_mff_add_fac_lam_ad[0]
I_INH,,x,%01.0f,0xd0000b76,1,FALSE,0,1,-1000,1000,0,TRUE,YAK,,lv_inh_put_ctl_i
KNK1,째,(x - 128) / 2.66666666666667,%01.2f,0xd0019888,1,FALSE,0,-5,-5,1,0,TRUE,YAK,,iga_knk_bas_cor[0]
KNK2,째,(x - 128) / 2.66666666666667,%01.2f,0xd0019889,1,FALSE,0,-5,-5,1,0,TRUE,YAK,,iga_knk_bas_cor[1]
KNK3,째,(x - 128) / 2.66666666666667,%01.2f,0xd001988a,1,FALSE,0,-5,-5,1,0,TRUE,YAK,,iga_knk_bas_cor[2]
KNK4,째,(x - 128) / 2.66666666666667,%01.2f,0xd001988b,1,FALSE,0,-5,-5,1,0,TRUE,YAK,,iga_knk_bas_cor[3]
LAMBDA_SP,,x * 0.0000610352,%01.2f,0xd0014384,2,FALSE,0.75,1.25,-100,100,0,TRUE,YAK,,lamb_sp_fil_hom[0]
MAF_COR,,x / 327.6799999999992,%01.1f,0xd0013d58,2,TRUE,-10,10,-100,100,0,TRUE,YAK,,fac_add_maf_cor_cmb
MFF_COR,,x / 16384,%01.1f,0xd001355c,2,FALSE,0,2,0,2,0,TRUE,YAK,,fac_mff_bas_cus
state_lam,,x,%01.0f,0xd001990e,1,FALSE,0,4,-1000,1000,0,TRUE,YAK,,state_lam[0]
